GRD_INSPIR_100;RAHVAARV_KOKKU;RAHVAARV_ELUHOONES;RAHVAARV_KESKUSES
100mN64754E06590;21;21;0
100mN64739E06608;171;171;0
100mN64741E06604;152;152;0
100mN64746E06590;68;68;0
100mN64756E06590;51;51;0
100mN64757E06591;267;267;0
100mN64748E06586;89;89;0
100mN64750E06583;6;6;0
100mN64739E06597;40;40;0
100mN64740E06598;1;1;0
100mN64752E06582;7;7;0
100mN64738E06570;203;203;0
100mN65799E05351;22;22;0
100mN65800E05351;31;31;0
100mN65801E05349;10;10;0
100mN65796E05355;25;25;0
100mN65798E05352;13;13;0
100mN65798E05355;32;32;0
100mN65796E05358;11;11;0
100mN65799E05352;14;14;0
100mN65800E05353;19;19;0
100mN65806E05356;22;22;0
100mN65805E05358;183;183;0
100mN65807E05356;8;8;0
100mN65796E05348;20;20;0
100mN65795E05359;14;14;0
100mN65797E05361;15;15;0
100mN65798E05361;10;10;0
100mN65810E05358;24;24;0
100mN65812E05355;14;14;0
100mN65812E05359;29;29;0
100mN65800E05361;5;5;0
100mN65806E05350;6;6;0
100mN65856E05364;154;154;0
100mN65857E05363;524;524;0
100mN65863E05361;188;188;0
100mN65861E05364;129;129;0
100mN65863E05362;246;246;0
100mN65867E05356;16;16;0
100mN65866E05359;7;7;0
100mN65890E05329;5;5;0
100mN65904E05335;8;8;0
100mN65866E05362;486;486;0
100mN65868E05362;377;377;0
100mN65864E05362;332;332;0
100mN65865E05362;397;397;0
100mN65863E05363;171;171;0
100mN65863E05373;153;153;0
100mN65869E05363;340;340;0
100mN65852E05360;158;158;0
100mN65811E05369;26;26;0
100mN65812E05369;6;6;0
100mN65809E05373;15;15;0
100mN65810E05373;20;20;0
100mN65806E05433;11;11;0
100mN65808E05435;27;27;0
100mN65810E05432;3;3;0
100mN65814E05356;25;25;0
100mN65814E05357;15;15;0
100mN65816E05355;16;16;0
100mN65819E05359;7;7;0
100mN65819E05363;27;27;0
100mN65820E05362;36;36;0
100mN65817E05364;25;25;0
100mN65824E05372;39;39;0
100mN65826E05373;10;10;0
100mN65818E05366;11;11;0
100mN65819E05366;21;21;0
100mN65820E05363;19;19;0
100mN65821E05359;16;16;0
100mN65822E05362;23;23;0
100mN65831E05374;13;13;0
100mN65817E05369;31;31;0
100mN65820E05368;26;26;0
100mN65820E05369;29;29;0
100mN65813E05361;25;25;0
100mN65812E05362;2;2;0
100mN65815E05361;25;25;0
100mN65812E05364;60;60;0
100mN65819E05371;20;20;0
100mN65820E05371;35;35;0
100mN65821E05369;23;23;0
100mN65834E05356;9;9;0
100mN65837E05353;13;13;0
100mN65836E05360;5;5;0
100mN65816E05363;21;21;0
100mN65836E05364;12;12;0
100mN65836E05374;12;12;0
100mN65825E05362;19;19;0
100mN65825E05366;16;16;0
100mN65827E05360;5;5;0
100mN65838E05374;22;22;0
100mN65839E05373;22;22;0
