area,year,value,dp,value_total
Tahkuranna vald,2011,9,,126
Tartu linn,2011,80,,5149
Haaslava vald,2011,5,,116
Luunja vald,2011,43,,1023
Nõo vald,2011,1,,89
Tartu vald,2011,17,,1272
Tähtvere vald,2011,11,,135
Ülenurme vald,2011,42,,1456
Tallinn,2012,908,3571,30892
Harku vald,2012,50,772,1639
Jõelähtme vald,2012,21,515,560
Keila vald,2012,9,,257
Kiili vald,2012,33,309,598
Rae vald,2012,108,926,3905
Saku vald,2012,34,119,654
Saue vald,2012,15,329,1493
Viimsi vald,2012,152,664,4332
Pärnu linn,2012,41,3634,2331
Audru vald,2012,11,,191
Paikuse vald,2012,6,,298
Sauga vald,2012,43,,650
Tahkuranna vald,2012,6,,126
Tartu linn,2012,94,,5149
Haaslava vald,2012,4,,116
Luunja vald,2012,21,,1023
Nõo vald,2012,5,,89
Tartu vald,2012,43,,1272
Tähtvere vald,2012,2,,135
Ülenurme vald,2012,76,,1456
Tallinn,2013,713,3571,30892
Harku vald,2013,78,772,1639
Jõelähtme vald,2013,16,515,560
Keila vald,2013,10,,257
Kiili vald,2013,11,309,598
Rae vald,2013,143,926,3905
Saku vald,2013,47,119,654
Saue vald,2013,38,329,1493
Viimsi vald,2013,181,664,4332
Pärnu linn,2013,28,3634,2331
Audru vald,2013,10,,191
Paikuse vald,2013,17,,298
Sauga vald,2013,14,,650
Tahkuranna vald,2013,7,,126
Tartu linn,2013,212,,5149
Haaslava vald,2013,5,,116
Luunja vald,2013,55,,1023
Nõo vald,2013,3,,89
Tartu vald,2013,59,,1272
Tähtvere vald,2013,4,,135
Ülenurme vald,2013,61,,1456
Tallinn,2014,1132,3571,30892
Harku vald,2014,80,772,1639
Jõelähtme vald,2014,42,515,560
Keila vald,2014,7,,257
Kiili vald,2014,28,309,598
Rae vald,2014,178,926,3905
Saku vald,2014,33,119,654
Saue vald,2014,73,329,1493
Viimsi vald,2014,210,664,4332
Pärnu linn,2014,30,3634,2331
Audru vald,2014,16,,191
Paikuse vald,2014,12,,298
Sauga vald,2014,15,,650
Tahkuranna vald,2014,2,,126
Tartu linn,2014,159,,5149
Haaslava vald,2014,4,,116
Luunja vald,2014,78,,1023
Nõo vald,2014,3,,89
Tartu vald,2014,134,,1272
Tähtvere vald,2014,2,,135
Ülenurme vald,2014,152,,1456
Tallinn,2015,1850,3571,30892
Harku vald,2015,105,772,1639
Jõelähtme vald,2015,35,515,560
Keila vald,2015,14,,257
Kiili vald,2015,43,309,598
Rae vald,2015,272,926,3905
Saku vald,2015,67,119,654
Saue vald,2015,154,329,1493
Viimsi vald,2015,140,664,4332
Pärnu linn,2015,22,3634,2331
Audru vald,2015,15,,191
Paikuse vald,2015,22,,298
Sauga vald,2015,42,,650
Tahkuranna vald,2015,18,,126
Tartu linn,2015,313,,5149
Haaslava vald,2015,8,,116
Luunja vald,2015,82,,1023
Nõo vald,2015,13,,89
Tartu vald,2015,119,,1272
Tähtvere vald,2015,6,,135
Ülenurme vald,2015,173,,1456
Tallinn,2016,2264,3571,30892
Harku vald,2016,87,772,1639
Jõelähtme vald,2016,98,515,560
Keila vald,2016,21,,257
Kiili vald,2016,61,309,598
Rae vald,2016,274,926,3905
Saku vald,2016,92,119,654
Saue vald,2016,200,329,1493
Viimsi vald,2016,259,664,4332
Pärnu linn,2016,81,3634,2331
Audru vald,2016,15,,191
Paikuse vald,2016,19,,298
Sauga vald,2016,33,,650
Tahkuranna vald,2016,27,,126
Tartu linn,2016,232,,5149
Haaslava vald,2016,29,,116
Luunja vald,2016,52,,1023
Nõo vald,2016,6,,89
Tartu vald,2016,198,,1272
Tähtvere vald,2016,8,,135
Ülenurme vald,2016,167,,1456
Tallinn,2017,2732,3571,30892
Harku vald,2017,95,772,1639
Jõelähtme vald,2017,110,515,560
Keila vald,2017,13,,257
Kiili vald,2017,45,309,598
Rae vald,2017,333,926,3905
Saku vald,2017,80,119,654
Saue vald,2017,247,329,1493
Viimsi vald,2017,450,664,4332
Pärnu linn,2017,155,3634,2331
Audru vald,2017,29,,191
Paikuse vald,2017,28,,298
Sauga vald,2017,62,,650
Tahkuranna vald,2017,12,,126
Tartu linn,2017,340,,5149
Haaslava vald,2017,29,,116
Luunja vald,2017,251,,1023
Nõo vald,2017,8,,89
Tartu vald,2017,102,,1272
Tähtvere vald,2017,14,,135
Ülenurme vald,2017,177,,1456
Tallinn,2018,3149,3571,30892
Harku vald,2018,198,772,1639
Jõelähtme vald,2018,109,515,560
Keila vald,2018,,,257
Kiili vald,2018,100,309,598
Rae vald,2018,457,926,3905
Saku vald,2018,137,119,654
Saue vald,2018,241,329,1493
Viimsi vald,2018,318,664,4332
Pärnu linn,2018,116,3634,2331
Audru vald,2018,,,191
Paikuse vald,2018,,,298
Sauga vald,2018,,,650
Tahkuranna vald,2018,,,126
Tartu linn,2018,514,,5149
Haaslava vald,2018,,,116
Luunja vald,2018,119,,1023
Nõo vald,2018,5,,89
Tartu vald,2018,107,,1272
Tähtvere vald,2018,3,,135
Ülenurme vald,2018,171,,1456
