"Üksuse kood";"Üksus";"Väärtus";
"7599";"Simula küla";"100";
"8109";"Voki-Tamme küla";"72";
"8124";"Tammsaare küla";"0";
"8175";"Tedre küla";"0";
"8191";"Tepia küla";"0";
"8192";"Tellaste küla";"50";
"8199";"Tessova küla";"0";
"8204";"Teterüvä küla";"0";
"8219";"Tiidu küla";"60";
"8223";"Tiirhanna küla";"0";
"8231";"Tiklasõ küla";"0";
"8237";"Tilgu küla";"0";
"8243";"Tilsi küla";"91";
"8244";"Timo küla";"0";
"8248";"Tinu küla";"0";
"8252";"Tiri küla";"0";
"8266";"Tobrova küla";"40";
"8267";"Tohkri küla";"0";
"8280";"Toku küla";"0";
"8286";"Tonja küla";"24";
"8906";"Vakari küla";"0";
"8918";"Valga linn";"19";
"8969";"Valtina küla";"68";
"1694";"Haapsipea küla";"78";
"1695";"Haapsu küla";"100";
"1696";"Haaslava küla";"98";
"1699";"Haava küla";"35";
"1769";"Harju küla";"89";
"1736";"Halinga küla";"94";
"1739";"Haljala alevik";"89";
"1741";"Haljava küla";"93";
"1746";"Halliku küla";"89";
"1749";"Halliste alevik";"100";
"1752";"Hammaste küla";"98";
"1757";"Hanila küla";"71";
"1760";"Hara küla / Harga";"0";
"2285";"Jõõdre küla";"97";
"2784";"Karuse küla";"100";
"2787";"Kasari küla";"28";
"2792";"Kaseküla";"0";
"2794";"Kasemetsa küla";"0";
"2797";"Kasepere küla";"12";
"2799";"Kasepää alevik";"100";
"2800";"Kasepää küla";"100";
"2802";"Kasevälja küla";"43";
"2807";"Kassari küla";"0";
"2809";"Kassema küla";"0";
"2813";"Kassi küla";"36";
"2815";"Kassilaane küla";"38";
"2818";"Kassinurme küla";"77";
"2819";"Kassivere küla";"0";
"3300";"Koitjärve küla";"0";
"3302";"Koimula küla";"8";
"3307";"Kojastu küla";"10";
"3310";"Kokanurga küla";"85";
"3331";"Koldamäe küla";"0";
"3477";"Kotinuka küla";"8";
"3492";"Krei küla";"94";
"4553";"Luigu küla";"69";
"4554";"Luiste küla";"0";
"4557";"Luke küla";"84";
"4560";"Lungu küla";"69";
"4567";"Lustivere küla";"87";
"4573";"Lutike küla";"67";
"4577";"Lutsu küla";"100";
"4579";"Luua küla";"97";
"4581";"Luulupe küla";"0";
"4583";"Luunja alevik";"100";
"4586";"Luuri küla";"0";
"4589";"Luusika küla";"0";
"4590";"Lõbembe küla";"0";
"4592";"Lõbe küla";"0";
"4595";"Lõetsa küla";"0";
"4598";"Lõhavere küla";"28";
"5258";"Männamaa küla";"0";
"5259";"Männiku küla";"91";
"5261";"Männiku küla";"90";
"5262";"Männiku küla";"0";
"5264";"Männikuste küla";"0";
"5265";"Männiku küla";"0";
"5267";"Männikvälja küla";"0";
"5275";"Mäo küla";"86";
"5276";"Mäo küla";"81";
"5277";"Märja alevik";"0";
"5280";"Märjamaa alev";"100";
"5281";"Märjandi küla";"63";
"5287";"Mätja küla";"0";
"5290";"Määra küla";"70";
"5292";"Rätsepa küla";"97";
"5295";"Määri küla";"63";
"5298";"Määvli küla";"0";
"3497";"Kriilevälja küla";"14";
"4501";"Loodi küla";"96";
"4503";"Loodna küla";"87";
"4504";"Loomse küla";"100";
"4506";"Looküla";"0";
"4511";"Loone küla";"45";
"4513";"Loopre küla";"0";
"4514";"Loopre küla";"0";
"4522";"Lootvina küla";"51";
"4527";"Lossimäe küla";"2";
"4537";"Luguse küla";"90";
"4548";"Luiga küla";"61";
"4550";"Luige alevik";"0";
"4551";"Luige küla";"96";
"6703";"Rabasaare küla";"0";
"6705";"Rabaküla";"100";
"6707";"Rabavere küla";"33";
"6710";"Rabivere küla";"77";
"6713";"Rae küla";"8";
"6714";"Rae küla";"7";
"6715";"Raegma küla";"0";
"6716";"Raeküla";"0";
"6717";"Raespa küla";"23";
"6719";"Raela küla";"93";
"6722";"Raheste küla";"100";
"6724";"Rahinge küla";"62";
"6725";"Rahkama küla";"0";
"6726";"Rahkla küla";"22";
"6727";"Rahivere küla";"79";
"6729";"Rahkla küla";"50";
"6730";"Rahniku küla";"100";
"6732";"Rahnoja küla";"82";
"6737";"Rahu küla";"100";
"6739";"Rahula küla";"26";
"7330";"Sagariste küla";"0";
"7337";"Sahargu küla";"0";
"7343";"Saiakopli küla";"75";
"7345";"Saikla küla";"100";
"7348";"Saka küla";"34";
"7349";"Sakla küla";"91";
"7351";"Sakla küla";"98";
"7353";"Saksa küla";"92";
"7356";"Saksaküla";"0";
"7358";"Saksi küla";"73";
"7401";"Salutaguse küla";"38";
"7402";"Salutaguse küla";"78";
"7403";"Salu küla";"44";
"7405";"Sambu küla";"27";
"7406";"Samliku küla";"48";
"7407";"Samma küla";"0";
"7408";"Santovi küla";"79";
"7410";"Sammaste küla";"0";
"7412";"Sandimetsa küla";"50";
"7413";"Sandla küla";"100";
"7415";"Sandra küla";"0";
"7420";"Sangla küla";"100";
"7423";"Sarakuste küla";"39";
"7428";"Sargvere küla";"89";
"7433";"Sarja küla";"0";
"8130";"Tamsalu linn";"100";
"8131";"Tammuru küla";"90";
"8133";"Tamsa küla";"11";
"8136";"Tamse küla";"0";
"8137";"Tamsi küla";"100";
"8138";"Tamsi küla";"0";
"8139";"Tapupere küla";"89";
"8140";"Tapa linn";"32";
"8141";"Tapiku küla";"0";
"8147";"Tarakuse küla";"0";
"8149";"Tarakvere küla";"0";
"8150";"Tareste küla";"76";
"8151";"Tartu linn";"94";
"8152";"Tarbja küla";"95";
"8153";"Tareste küla";"0";
"8154";"Tarumaa küla";"0";
"8156";"Tarva küla";"95";
"8157";"Tarva küla";"80";
"8159";"Tarvastu küla";"62";
"8162";"Taterma küla";"5";
"8165";"Tatra küla";"100";
"8167";"Tatruse küla";"0";
"8404";"Tuimõisa küla";"0";
"8405";"Tuka küla";"0";
"8409";"Tuksi küla / Bergsby";"0";
"8412";"Tumala küla";"83";
"8418";"Tupenurme küla";"0";
"8421";"Turba alevik";"100";
"8437";"Tusari küla";"0";
"8439";"Tusti küla";"53";
"8091";"Kõima küla";"59";
"8092";"Tamme küla";"0";
"8094";"Tamme küla";"0";
"8095";"Tammela küla";"0";
"8096";"Tammejärve küla";"0";
"8097";"Tammeküla";"0";
"8098";"Tammemäe küla";"33";
"9602";"Võõbu küla";"69";
"9605";"Võõpste küla";"52";
"9607";"Võõpsu küla";"91";
"9608";"Võõpsu alevik";"98";
"9612";"Vägari küla";"94";
"9621";"Väike-Kamari küla";"79";
"9623";"Väike-Kareda küla";"98";
"9658";"Välta küla";"0";
"9660";"Väljamõisa küla";"37";
"9661";"Väluste küla";"99";
"9663";"Vändra alev";"100";
"9666";"Vängla küla";"0";
"9669";"Värati küla";"88";
"9673";"Vätse küla";"89";
"9674";"Värssu küla";"5";
"9680";"Väägvere küla";"100";
"9683";"Vääna küla";"99";
"9685";"Vääna-Jõesuu küla";"72";
"9686";"Väänla küla";"42";
"9688";"Väänikvere küla";"0";
"9689";"Vedruka küla";"79";
"9690";"Väätsa alevik";"100";
"9691";"Õepa küla";"0";
"9695";"Õisu alevik";"100";
"9696";"Õle küla";"0";
"0120";"Ahtme linnaosa";"96";
"1521";"Ebavere küla";"70";
"1524";"Edise küla";"93";
"1526";"Edivere küla";"100";
"1527";"Eense küla";"100";
"1529";"Edru küla";"0";
"1574";"Elbi küla";"50";
"1576";"Elbu küla";"7";
"1579";"Elistvere küla";"0";
"1582";"Ellakvere küla";"0";
"1583";"Ellamaa küla";"40";
"1585";"Ellamaa küla";"86";
"1586";"Elva linn";"11";
"1587";"Emmaste-Kurisu küla";"0";
"1589";"Emmaste küla";"100";
"1591";"Emmu küla";"30";
"1592";"Emmuvere küla";"0";
"1594";"Emumäe küla";"0";
"1598";"Endla küla";"0";
"1600";"Enivere küla";"0";
"1602";"Enge küla";"100";
"1603";"Ännikse küla";"0";
"1605";"Enno küla";"10";
"1606";"Ennu küla";"0";
"1609";"Eoste küla";"87";
"1613";"Epra küla";"73";
"1617";"Erala küla";"88";
"1623";"Ereda küla";"99";
"1624";"Erja küla";"0";
"1625";"Ereste küla";"0";
"1628";"Ermistu küla";"0";
"1629";"Erra-Liiva küla";"100";
"1631";"Erra alevik";"93";
"1634";"Ertsma küla";"61";
"1640";"Ervita küla";"89";
"1643";"Ervu küla";"28";
"1647";"Esiküla";"0";
"1649";"Esivere küla";"3";
"1652";"Esku küla";"95";
"1653";"Esna küla";"60";
"1655";"Esna küla";"100";
"1658";"Espre küla";"0";
"1661";"Essu küla";"91";
"1662";"Fällarna küla";"0";
"1665";"Etsaste küla";"83";
"1670";"Förby küla";"0";
"1681";"Haage küla";"95";
"1684";"Haakla küla";"0";
"1690";"Haapsi küla";"0";
"1692";"Haapsalu linn";"1";
"2000";"Ignase küla";"93";
"2007";"Ihamaru küla";"68";
"2013";"Iia küla";"0";
"2020";"Iira küla";"90";
"2022";"Iilaste küla";"20";
"3430";"Kootsi küla";"81";
"3432";"Koovälja küla";"74";
"3435";"Kopli küla";"0";
"3436";"Kopli küla";"29";
"3437";"Kopli küla";"0";
"3438";"Koplitaguse küla";"87";
"3439";"Koppelmaa küla";"68";
"3442";"Korba küla";"29";
"3445";"Korju küla";"0";
"3457";"Koruste küla";"0";
"3458";"Kose küla";"0";
"3459";"Kose küla";"73";
"3460";"Kose alevik";"100";
"3461";"Kose küla";"100";
"3464";"Kose-Uuemõisa alevik";"100";
"3467";"Koseveski küla";"0";
"3469";"Kosova küla";"38";
"3472";"Kostivere alevik";"100";
"3474";"Kosu küla";"0";
"3500";"Kriimani küla";"95";
"3505";"Krootuse küla";"94";
"3531";"Kuie küla";"0";
"3539";"Kuijõe küla";"73";
"3541";"Kuimetsa küla";"73";
"3597";"Kulli küla";"89";
"3599";"Kullimaa küla";"39";
"4002";"Laabi küla";"28";
"4004";"Laadi küla";"89";
"4012";"Laagna küla";"86";
"4014";"Laagri alevik";"60";
"4017";"Laane küla";"13";
"4018";"Laane küla";"0";
"4019";"Laane küla";"0";
"4020";"Laane küla";"0";
"4021";"Laanekuru küla";"0";
"4022";"Laaneotsa küla";"0";
"4026";"Laasme küla";"58";
"4033";"Laekannu küla";"0";
"4035";"Laekvere alevik";"88";
"4038";"Laeste küla";"0";
"4040";"Laeva küla";"0";
"4041";"Laevaranna küla";"60";
"4043";"Lagedi alevik";"0";
"4046";"Laguja küla";"73";
"4049";"Lahavere küla";"73";
"4050";"Lahe küla";"100";
"2090";"Inju küla";"92";
"2093";"Intsu küla";"60";
"2099";"Iravere küla";"27";
"3404";"Koolma küla";"0";
"3407";"Koonga küla";"97";
"3410";"Koonu küla";"54";
"3412";"Koopsi küla";"8";
"3417";"Koordi küla";"100";
"3422";"Koorvere küla";"98";
"3425";"Koosa küla";"94";
"3427";"Koosalaane küla";"75";
"4088";"Lalsi küla";"0";
"4091";"Lammasküla";"100";
"4093";"Lammiku küla";"100";
"4096";"Langa küla";"0";
"4099";"Lange küla";"92";
"4820";"Matsalu küla";"100";
"4824";"Matsi küla";"0";
"4826";"Matsiranna küla";"0";
"4842";"Meeksi küla";"51";
"4844";"Meelste küla";"0";
"4847";"Meelva küla";"100";
"4849";"Meelva küla";"81";
"4854";"Meerapalu küla";"83";
"4855";"Mehama küla";"100";
"4856";"Meeri küla";"91";
"4857";"Mehide küla";"0";
"4859";"Mehikoorma alevik";"100";
"4862";"Meiuste küla";"0";
"4865";"Meleski küla";"9";
"4868";"Melliste küla";"94";
"4871";"Meoma küla";"58";
"4873";"Meossaare küla";"19";
"4874";"Mereküla";"2";
"4876";"Meremõisa küla";"97";
"4881";"Mereäärse küla";"7";
"4882";"Merja küla";"0";
"4883";"Metsaküla";"82";
"4884";"Meriküla";"0";
"4889";"Metsakivi küla";"20";
"4890";"Metsaküla";"0";
"4891";"Metsaküla";"44";
"4892";"Metsaküla";"83";
"4893";"Metsaküla";"12";
"4894";"Metsaküla";"0";
"4895";"Metsalaane küla";"63";
"4896";"Metsamägara küla";"100";
"4897";"Metsaküla";"0";
"4898";"Metsalauka küla";"0";
"4900";"Metsanuka küla";"0";
"4902";"Metsanurga küla";"3";
"4903";"Metsanurga küla";"0";
"4904";"Metsanurga küla";"54";
"4906";"Metsanurga küla";"89";
"4909";"Metsara küla";"0";
"4912";"Metsanurme küla";"0";
"4913";"Metsavere küla";"88";
"4914";"Metsaääre küla";"66";
"4915";"Metsaääre küla";"33";
"4916";"Metsaääre küla";"73";
"4055";"Lahepera küla";"100";
"4056";"Laheküla";"100";
"4058";"Laheküla";"0";
"4060";"Lahmuse küla";"82";
"4062";"Laho küla";"37";
"4063";"Laheva küla";"0";
"4064";"Laiaküla";"22";
"4065";"Lahu küla";"0";
"4068";"Laiküla";"93";
"4070";"Laimetsa küla";"94";
"4073";"Laimjala küla";"100";
"4075";"Laitse küla";"90";
"4078";"Laiuse alevik";"100";
"4080";"Laiusevälja küla";"65";
"4083";"Lalli küla";"0";
"4084";"Lalli küla";"97";
"4085";"Lalli küla";"83";
"4959";"Miti küla";"47";
"5006";"Mui küla";"69";
"5012";"Mujaste küla";"0";
"5015";"Mukri küla";"0";
"5101";"Muti küla";"84";
"5105";"Muuga küla";"75";
"5110";"Muusika küla";"90";
"5114";"Mõdriku küla";"48";
"5117";"Mõedaka küla";"68";
"5120";"Mõega küla";"50";
"5123";"Mõhküla";"78";
"5125";"Mõisaküla";"54";
"5126";"Mõisaaseme küla";"0";
"5127";"Mõisaküla";"0";
"5130";"Mõisaküla";"0";
"5131";"Mõisamaa küla";"17";
"5132";"Mõisamaa küla";"0";
"5133";"Mõisamaa küla";"84";
"5136";"Mõisaküla";"90";
"5137";"Mõisaküla";"100";
"5138";"Mõisanurme küla";"76";
"5142";"Mõisamaa küla";"100";
"5143";"Mõisaküla";"0";
"5144";"Karjaküla";"0";
"5145";"Mõisaküla linn";"100";
"5147";"Mõndavere küla";"0";
"5152";"Mõnnaste küla";"13";
"5156";"Mõnuvere küla";"0";
"5157";"Mõnuste küla";"25";
"5160";"Mõra küla";"63";
"5162";"Mõraste küla";"0";
"5165";"Mõrdu küla";"0";
"5166";"Mõrtsi küla";"0";
"5170";"Mõtsküla";"11";
"5173";"Mõtsu küla";"0";
"5174";"Mõisimaa küla";"0";
"5178";"Mõõnaste küla";"38";
"5182";"Mädapea küla";"80";
"5183";"Mäeküla";"100";
"5185";"Mädara küla";"55";
"5186";"Mäeküla";"0";
"5191";"Mäeküla";"100";
"5193";"Mäeküla";"96";
"5194";"Mäeküla";"1";
"5196";"Mäeküla";"43";
"5197";"Mäeküla";"86";
"5198";"Mäelooga küla";"20";
"4917";"Metsaääre küla";"0";
"4919";"Metsküla";"25";
"4920";"Metskaevu küla";"6";
"4923";"Metsküla";"0";
"4924";"Metsküla";"0";
"4925";"Metsküla";"73";
"4926";"Metsavälja küla";"0";
"4927";"Metsla küla";"0";
"4928";"Metsla küla";"80";
"4929";"Metsküla";"90";
"4931";"Metslõugu küla";"0";
"4936";"Metstaguse küla";"91";
"4942";"Mihkli küla";"100";
"4945";"Miiaste küla";"80";
"4948";"Miila küla";"13";
"5921";"Palase küla";"0";
"5922";"Palasi küla";"0";
"5923";"Palasi küla";"0";
"5924";"Palatu küla";"0";
"5925";"Paldiski linn";"99";
"5926";"Palivere alevik";"100";
"5928";"Paljasmaa küla";"0";
"5931";"Pallasmaa küla";"0";
"5935";"Pallika küla";"0";
"5937";"Pallika küla";"13";
"5944";"Paluküla";"67";
"5946";"Paluküla";"91";
"5947";"Paluküla";"69";
"5949";"Palumäe küla";"8";
"5952";"Palupera küla";"95";
"5954";"Palupere küla";"43";
"5957";"Palupõhja küla";"0";
"5959";"Palutaja küla";"54";
"5962";"Palvere küla";"0";
"5965";"Pamma küla";"0";
"5967";"Pammana küla";"0";
"5970";"Pandivere küla";"80";
"5971";"Panga küla";"0";
"5975";"Pangodi küla";"49";
"5979";"Papiaru küla";"90";
"5981";"Papiaru küla";"0";
"5984";"Papisilla küla";"77";
"5986";"Papsaare küla";"98";
"5989";"Paralepa alevik";"0";
"5990";"Parasmaa küla";"0";
"5992";"Parapalu küla";"100";
"5994";"Parasmetsa küla";"0";
"5997";"Parasmäe küla";"72";
"5999";"Pargitaguse küla";"67";
"6155";"Pihva küla";"92";
"6161";"Piibumäe küla";"50";
"6164";"Piigandi küla";"61";
"6167";"Piigaste küla";"68";
"6169";"Piila küla";"0";
"6191";"Piirsalu küla";"73";
"6194";"Piirumi küla";"82";
"6198";"Piissoo küla";"47";
"6200";"Piisu küla";"33";
"6201";"Piistaoja küla";"6";
"6204";"Piisupi küla";"0";
"6206";"Piiumetsa küla";"0";
"6209";"Pikajärve küla";"95";
"6214";"Pikaküla";"100";
"6217";"Pikareinu küla";"9";
"6219";"Pikaristi küla";"89";
"6222";"Pikasilla küla";"68";
"6224";"Pikati küla";"0";
"6227";"Pikavere küla";"40";
"6228";"Pikavere küla";"49";
"6230";"Pikevere küla";"0";
"6233";"Pikkjärve küla";"70";
"6236";"Pikknurme küla";"11";
"6239";"Pikru küla";"51";
"6240";"Pildiküla";"100";
"6241";"Pikva küla";"0";
"6247";"Pilistvere küla";"90";
"6249";"Pilka küla";"81";
"6254";"Pillapalu küla";"0";
"6258";"Pilpaküla";"94";
"6259";"Pilpaküla";"84";
"6262";"Pilu küla";"0";
"6265";"Pimestiku küla";"0";
"6271";"Pinska küla";"93";
"6274";"Pirgu küla";"48";
"5901";"Pala küla";"0";
"5902";"Pakaste küla";"82";
"5905";"Pala küla";"100";
"5906";"Pala küla";"79";
"5907";"Pala küla";"0";
"5908";"Palade küla";"100";
"5911";"Palamulla küla";"89";
"5913";"Palamuse alevik";"100";
"5916";"Palamuste küla";"69";
"6965";"Ridasi küla";"0";
"6968";"Riguldi küla / Rickul";"0";
"6971";"Rihkama küla";"0";
"6972";"Riidaküla";"32";
"6986";"Riisa küla";"83";
"6989";"Riisipere alevik";"100";
"6994";"Riiviku küla";"0";
"6995";"Rikassaare küla";"0";
"7200";"Räimaste küla";"0";
"7202";"Räitsvere küla";"0";
"7205";"Rälby küla";"0";
"7208";"Rämsi küla";"100";
"7211";"Mäeküla";"71";
"7214";"Räni alevik";"94";
"7216";"Räpina linn";"100";
"7220";"Räsna küla";"0";
"7221";"Räsna küla";"75";
"7223";"Rässa küla";"0";
"7226";"Rätla küla";"0";
"7229";"Rätsepa küla";"93";
"7232";"Rääbise küla";"91";
"7234";"Räägi küla";"0";
"7237";"Räägu küla";"16";
"7238";"Räägu küla";"0";
"7240";"Rääka küla";"0";
"7245";"Rääsa küla";"0";
"7248";"Rääski küla";"85";
"7254";"Röa küla";"82";
"7255";"Röa küla";"71";
"7258";"Röösa küla";"0";
"7259";"Rädi küla";"50";
"7262";"Rünga küla";"0";
"7265";"Rütavere küla";"18";
"7273";"Saadjärve küla";"80";
"7275";"Saanika küla";"0";
"7278";"Saara küla";"97";
"7280";"Saarde küla";"78";
"7282";"Saare küla";"0";
"7283";"Saardu küla";"0";
"7284";"Saare küla / Lyckholm";"0";
"7285";"Kääpa küla";"89";
"7290";"Saareküla";"43";
"7291";"Saaremetsa küla";"0";
"7293";"Saareotsa küla";"0";
"7294";"Saareküla";"0";
"7295";"Saarepeedi küla";"10";
"7298";"Saarepõllu küla";"0";
"7300";"Saari küla";"0";
"7303";"Saarjärve küla";"0";
"7308";"Saarnakõrve küla";"0";
"7310";"Saastna küla";"84";
"7314";"Saburi küla";"100";
"7318";"Sadala alevik";"99";
"7319";"Sadala küla";"60";
"7323";"Saduküla";"0";
"7324";"Sae küla";"85";
"7325";"Sae küla";"0";
"7332";"Sagevere küla";"57";
"7335";"Saha küla";"53";
"7361";"Saku alevik";"0";
"7369";"Salajõe küla";"0";
"7371";"Salaküla";"100";
"7372";"Salavere küla";"14";
"7373";"Salavere küla";"0";
"7376";"Salda küla";"90";
"7379";"Salevere küla";"0";
"7382";"Salinõmme küla";"0";
"7385";"Salla küla";"0";
"7391";"Salu küla";"100";
"7392";"Salu küla";"2";
"7393";"Salu küla";"97";
"7396";"Salumetsa küla";"33";
"7398";"Salumäe küla";"36";
"7399";"Salutaguse küla";"0";
"8303";"Toomika küla";"0";
"8304";"Toomla küla";"67";
"8305";"Toomja küla";"14";
"8308";"Tooni küla";"0";
"8310";"Toosi küla";"96";
"8313";"Tooste küla";"94";
"8316";"Tootsi alev";"100";
"8318";"Toovere küla";"0";
"8321";"Tanska küla";"0";
"8325";"Tori küla";"0";
"8326";"Tori alevik";"95";
"8329";"Torila küla";"98";
"8331";"Torma alevik";"100";
"8334";"Tormi küla";"0";
"8335";"Toruküla";"67";
"8336";"Tornimäe küla";"100";
"8346";"Triigi küla";"98";
"8347";"Triigi küla";"0";
"6276";"Pirmastu küla";"85";
"6278";"Pitsalu küla";"0";
"6280";"Pisisaare küla";"93";
"6286";"Pivarootsi küla";"0";
"8453";"Tuulavere küla";"0";
"8454";"Tuulevälja küla";"47";
"8455";"Tuulemäe küla";"0";
"8460";"Tuulna küla";"88";
"8463";"Tuuraste küla";"19";
"8465";"Tuuru küla";"0";
"8469";"Tõdu küla";"13";
"8472";"Tõdva küla";"89";
"8475";"Tõhela küla";"0";
"8477";"Tõhelgi küla";"0";
"8478";"Tõitse küla";"80";
"8480";"Tõikvere küla";"95";
"8483";"Tõivere küla";"0";
"8485";"Tõlla küla";"93";
"8488";"Tõlli küla";"86";
"8493";"Tõlluste küla";"76";
"8496";"Tömbi küla";"8";
"8499";"Tõmmiku küla";"100";
"9446";"Vodja küla";"96";
"9449";"Vohnja küla";"99";
"9452";"Voika küla";"48";
"9453";"Voka küla";"56";
"9455";"Voka alevik";"98";
"9461";"Voldi küla";"50";
"9466";"Voore küla";"0";
"9467";"Voore küla";"75";
"9470";"Vooreküla";"69";
"9472";"Voorepalu küla";"0";
"9475";"Voorepera küla";"100";
"9477";"Vooru küla";"55";
"9478";"Voose küla";"0";
"9480";"Voose küla";"68";
"9483";"Vorbuse küla";"94";
"8348";"Triigi küla";"92";
"8396";"Tuhala küla";"93";
"8398";"Tuhalaane küla";"6";
"8401";"Tuhu küla";"0";
"8426";"Turja küla";"100";
"8431";"Turva küla";"0";
"8434";"Turvalepa küla";"0";
"8440";"Tusti küla";"0";
"8441";"Tuti küla";"100";
"8442";"Tutermaa küla";"98";
"8443";"Tutku küla";"0";
"8446";"Tuudi küla";"98";
"8450";"Tuula küla";"78";
"9516";"Võide küla";"0";
"9519";"Võidivere küla";"48";
"9521";"Võidu küla";"78";
"9524";"Võidula küla";"73";
"9526";"Võiera küla";"23";
"9528";"Võigaste küla";"0";
"9529";"Võikvere küla";"98";
"9531";"Võiküla";"0";
"9534";"Võipere küla";"9";
"9536";"Võisiku küla";"93";
"9539";"Võiste alevik";"84";
"9541";"Võistre küla";"73";
"9544";"Võitra küla";"7";
"9546";"Võivaku küla";"70";
"9549";"Võivere küla";"100";
"9552";"Võle küla";"0";
"9554";"Võlla küla";"6";
"9555";"Võlla küla";"0";
"9558";"Võlle küla";"34";
"9560";"Võlli küla";"0";
"9561";"Võlli küla";"0";
"9568";"Võnnu küla";"0";
"9570";"Võnnu alevik";"93";
"9572";"Võntküla";"100";
"9575";"Võrevere küla";"0";
"9578";"Võrkla küla";"77";
"9580";"Võrnu küla";"4";
"9581";"Võrsna küla";"0";
"9583";"Võruküla";"2";
"9584";"Võrungi küla";"0";
"9591";"Võsivere küla";"16";
"9596";"Võtikvere küla";"13";
"9599";"Võuküla";"88";
"9485";"Vorsti küla";"0";
"9486";"Vorsti küla";"0";
"9489";"Võduvere küla";"69";
"9490";"Võduvere küla";"28";
"9491";"Võerdla küla";"27";
"9492";"Vuti küla";"0";
"9493";"Võeva küla";"0";
"9494";"Võhma küla";"0";
"9495";"Võhma küla";"50";
"9499";"Võhma küla";"93";
"9500";"Võhma linn";"100";
"9501";"Võhmanõmme küla";"100";
"9503";"Võhmassaare küla";"90";
"9505";"Võhmetu küla";"0";
"9506";"Võhmuta küla";"81";
"9508";"Võhu küla";"0";
"9514";"Võibla küla";"84";
"0919";"Võru linn";"19";
"1620";"Erastvere küla";"99";
"1626";"Ermakova küla";"73";
"1678";"Haabsaare küla";"24";
"1697";"Haava küla";"48";
"1744";"Halla küla";"0";
"1751";"Haamaste küla";"32";
"1753";"Handimiku küla";"19";
"1755";"Hanikase küla";"88";
"1756";"Hapsu küla";"0";
"1758";"Hansi küla";"0";
"1759";"Hannuste küla";"0";
"1764";"Hargi küla";"100";
"2003";"Igrise küla";"71";
"2016";"Iigaste küla";"82";
"2786";"Kasakova küla";"0";
"2789";"Kasaritsa küla";"92";
"2812";"Kassi küla";"7";
"3405";"Koolma küla";"0";
"3406";"Koolmajärve küla";"0";
"3415";"Kooraste küla";"90";
"3420";"Koorküla";"43";
"3444";"Korela küla";"0";
"3446";"Korgõmõisa küla";"100";
"3447";"Korijärve küla";"69";
"3450";"Kornitsa küla";"0";
"3454";"Korski küla";"100";
"3462";"Kose alevik";"0";
"3470";"Kostkova küla";"47";
"3486";"Kraavi küla";"67";
"3494";"Kremessova küla";"89";
"3508";"Krundiküla";"69";
"3534";"Kuigatsi küla";"80";
"3536";"Kuigõ küla";"0";
"4029";"Laatre alevik";"100";
"4030";"Laatre küla";"0";
"4051";"Lahe küla";"90";
"4066";"Laho küla";"0";
"4079";"Lakovitsa küla";"0";
"4517";"Loosi küla";"0";
"4519";"Loosu küla";"90";
"4525";"Lossiküla";"72";
"4530";"Lota küla";"58";
"4543";"Luhametsa küla";"0";
"4563";"Lusti küla";"0";
"4564";"Lusti küla";"13";
"4570";"Lutepää küla";"100";
"4571";"Lutja küla";"0";
"4575";"Lutsu küla";"38";
"4594";"Luuska küla";"100";
"4827";"Matsuri küla";"100";
"4845";"Meeliku küla";"0";
"4851";"Meemaste küla";"90";
"4866";"Melso küla";"0";
"4872";"Merekülä küla";"0";
"4879";"Meremäe küla";"98";
"4908";"Metsapoole küla";"58";
"4911";"Mõtsavaara küla";"0";
"4938";"Metste küla";"24";
"4946";"Miilimäe küla";"0";
"4950";"Miku küla";"0";
"4951";"Mikitamäe küla";"100";
"5001";"Muhkamõtsa küla";"0";
"5003";"Muhkva küla";"50";
"5100";"Mutsu küla";"0";
"5135";"Mõisamäe küla";"0";
"5141";"Mõksi küla";"95";
"5167";"Mõrgi küla";"0";
"5188";"Mäekülä küla";"9";
"5189";"Mäe-Tilga küla";"0";
"5192";"Mäe-Kõoküla";"0";
"5195";"Mäeküla";"0";
"5269";"Männisalu küla";"100";
"5279";"Märdi küla";"86";
"5900";"Paklova küla";"0";
"5914";"Palandõ küla";"100";
"5918";"Palanumäe küla";"0";
"5938";"Palo küla";"0";
"5941";"Palometsa küla";"87";
"5943";"Paloveere küla";"0";
"5945";"Paloveere küla";"0";
"6150";"Pihleni küla";"72";
"6163";"Piigandi küla";"99";
"6196";"Piisi küla";"0";
"6212";"Pikakannu küla";"50";
"6220";"Pikasilla küla";"0";
"6234";"Pikkjärve küla";"88";
"6252";"Pilkuse küla";"81";
"6255";"Pille küla";"0";
"6257";"Pilpa küla";"38";
"6268";"Pindi küla";"0";
"6269";"Pindi küla";"0";
"6283";"Piusa küla";"63";
"6288";"Pliia küla";"100";
"6293";"Plessi küla";"94";
"6296";"Plika küla";"88";
"6702";"Raavitsa küla";"63";
"6985";"Riihora küla";"0";
"7217";"Räpo küla";"78";
"7243";"Rääptsova küla";"0";
"7250";"Rääsolaane küla";"53";
"7270";"Saabolda küla";"88";
"7292";"Saaremaa küla";"0";
"7313";"Saate küla";"0";
"7315";"Saatse küla";"98";
"7326";"Tamme küla";"94";
"7404";"Samarina küla";"100";
"7409";"Sandisuu küla";"47";
"7418";"Sangaste alevik";"100";
"7426";"Sarapuu küla";"84";
"8300";"Toomasmäe küla";"85";
"8315";"Tootsi küla";"90";
"8337";"Treiali küla";"0";
"8340";"Treimani küla";"98";
