"Üksuse kood";"Üksus";"Väärtus";
"2958";"Keravere küla";"0";
"2959";"Kerema küla";"6";
"2132";"Jaamaküla";"8";
"2135";"Jaanika küla";"63";
"2140";"Jaanikeste küla";"18";
"2142";"Jaanimõisa küla";"90";
"2147";"Jaaniveski küla";"67";
"2148";"Jaani küla";"100";
"2150";"Jabara küla";"14";
"2153";"Jakobimõisa küla";"62";
"2156";"Jalalõpe küla";"92";
"2159";"Jalametsa küla";"30";
"2161";"Jalase küla";"9";
"2164";"Jalgsema küla";"0";
"2166";"Jalukse küla";"0";
"2169";"Jaluse küla";"76";
"2175";"Jaska küla";"56";
"2996";"Kibeküla";"0";
"2999";"Kibura küla";"0";
"3202";"Kloodi küla";"31";
"3205";"Klooga alevik";"76";
"3207";"Kloogaranna küla";"95";
"3210";"Kloostri küla";"0";
"3216";"Kobilu küla";"59";
"3219";"Kobra küla";"87";
"3221";"Kobratu küla";"58";
"3224";"Kobru küla";"0";
"3226";"Kobruvere küla";"94";
"3229";"Kodasema küla";"0";
"3232";"Kodasoo küla";"79";
"3234";"Kodavere küla";"83";
"3235";"Kodeste küla";"0";
"3237";"Kodesmaa küla";"74";
"3239";"Kodijärve küla";"86";
"3240";"Kodila-Metsküla";"29";
"3242";"Kodila küla";"99";
"3244";"Kodismaa küla";"100";
"3247";"Koela küla";"0";
"3251";"Koeri küla";"0";
"3252";"Koeravere küla";"67";
"3253";"Kogri küla";"100";
"3255";"Koeru alevik";"100";
"3260";"Koguva küla";"0";
"3261";"Kohala-Eesküla";"29";
"3263";"Kohala küla";"95";
"3266";"Kohatu küla";"69";
"3267";"Kohatu küla";"0";
"3268";"Kohila alev";"100";
"3269";"Kohtla küla";"100";
"3270";"Kohtla-Nõmme alev";"97";
"3271";"Koidma küla";"0";
"3272";"Kohtru küla";"0";
"3273";"Koidu-Ellavere küla";"26";
"3275";"Koidu küla";"77";
"3276";"Koheri küla";"0";
"3279";"Koiduvälja küla";"0";
"3281";"Koidu küla";"0";
"3282";"Koigi küla";"82";
"3283";"Koigi küla";"0";
"3284";"Koigi küla";"37";
"3285";"Koidu küla";"0";
"3288";"Koiduküla";"0";
"3290";"Koigi-Väljaküla";"0";
"3292";"Koikla küla";"0";
"3294";"Koikse küla";"95";
"3296";"Koila küla";"100";
"3297";"Koila küla";"0";
"3313";"Kokaviidika küla";"0";
"3315";"Koke küla";"90";
"3321";"Kokre küla";"0";
"3323";"Kokora küla";"98";
"3325";"Koksi küla";"0";
"3326";"Kokuta küla";"0";
"3328";"Koksvere küla";"86";
"3337";"Kolga küla";"72";
"3338";"Kolga küla";"7";
"3340";"Kolga-Jaani alevik";"96";
"3341";"Kolila küla";"73";
"3342";"Kolgu küla";"0";
"3348";"Koljala küla";"0";
"3350";"Kolkja alevik";"100";
"3361";"Kolu küla";"0";
"3363";"Kolu küla";"61";
"3364";"Kolu küla";"3";
"3365";"Koluta küla";"0";
"3366";"Koluvere küla";"81";
"3367";"Koluvere küla";"44";
"3372";"Konguta küla";"83";
"3373";"Konnapere küla";"67";
"3375";"Konju küla";"52";
"3377";"Konsu küla";"3";
"3380";"Konuvere küla";"61";
"3385";"Koogi küla";"100";
"3386";"Koogi küla";"0";
"3389";"Koogimäe küla";"20";
"3391";"Koogiste küla";"0";
"3394";"Koogu küla";"0";
"3396";"Kookla küla";"85";
"3399";"Kooli küla";"98";
"2966";"Keressaare küla";"0";
"2969";"Kergu küla";"98";
"2970";"Kerguta küla";"77";
"2971";"Keri küla";"0";
"2973";"Kerita küla";"22";
"2976";"Kernu küla";"89";
"2978";"Kersalu küla";"100";
"2979";"Kesklahe küla";"100";
"2980";"Keskküla";"0";
"2981";"Kersleti küla";"0";
"2983";"Keskküla";"63";
"2984";"Keskvere küla";"71";
"2986";"Kestla küla";"0";
"2987";"Kesse küla";"0";
"2989";"Ketneri küla";"0";
"2990";"Kesu küla";"0";
